device,component,odometer,Revision
HW #3637 SANTIAGO D. GET266 4.5G #1450,Aceite de motor,18864.8,10000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Filtro de aire (motor),18864.8,15000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Filtro de combustible,18864.8,15000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Bujías,18864.8,30000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Correa serpentina / alternador,18864.8,60000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Refrigerante,18864.8,90000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Aceite de caja de cambios (manual),18864.8,45000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Filtro de cabina,18864.8,15000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Discos freno,18864.8,80000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Pastillas freno,18864.8,30000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Bateria,18864.8,90000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Aceite de motor,43629.3,10000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Filtro de aire (motor),43629.3,15000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Filtro de combustible,43629.3,15000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Bujías,43629.3,30000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Correa serpentina / alternador,43629.3,60000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Refrigerante,43629.3,90000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Aceite de caja de cambios (manual),43629.3,45000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Filtro de cabina,43629.3,15000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Discos freno,43629.3,80000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Pastillas freno,43629.3,30000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Bateria,43629.3,90000
HW #3052 SANTIAGO D. LZO633 4.5G #714,Revision Preventiva,43629.3,3000
HW #3637 SANTIAGO D. GET266 4.5G #1450,Revision Preventiva,18905.3,3000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Aceite de motor,11137,10000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Filtro de aire (motor),11137,15000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Filtro de combustible,11137,15000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Bujías,11137,30000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Correa serpentina / alternador,11137,60000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Refrigerante,11137,90000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Aceite de caja de cambios (manual),11137,45000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Filtro de cabina,11137,15000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Discos freno,11137,80000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Pastillas freno,11137,30000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Bateria,11137,90000
HW #3527 FRANSISCO D. GUX075 4.5G #1348,Revision Preventiva,11137,3000
